Boids()
Step 471, 0 has arrived, 0 collisions
Step 472, 0 has arrived, 0 collisions
Step 473, 0 has arrived, 0 collisions
Step 474, 0 has arrived, 0 collisions
Step 475, 0 has arrived, 0 collisions
Step 476, 0 has arrived, 0 collisions
Step 477, 0 has arrived, 0 collisions
Step 478, 0 has arrived, 0 collisions
Step 479, 0 has arrived, 0 collisions
Step 480, 0 has arrived, 0 collisions
Step 481, 0 has arrived, 0 collisions
Step 482, 0 has arrived, 0 collisions
Step 483, 0 has arrived, 0 collisions
Step 484, 0 has arrived, 0 collisions
Step 485, 0 has arrived, 0 collisions
Step 486, 0 has arrived, 0 collisions
Step 487, 0 has arrived, 0 collisions
Step 488, 0 has arrived, 0 collisions
Step 489, 0 has arrived, 0 collisions
Step 490, 0 has arrived, 0 collisions
Step 491, 0 has arrived, 0 collisions
Step 492, 0 has arrived, 0 collisions
Step 493, 0 has arrived, 0 collisions
Step 494, 0 has arrived, 0 collisions
Step 495, 0 has arrived, 0 collisions
Step 496, 0 has arrived, 0 collisions
Step 497, 0 has arrived, 0 collisions
Step 498, 0 has arrived, 0 collisions
Step 499, 0 has arrived, 0 collisions
Step 500, 0 has arrived, 0 collisions
Step 501, 0 has arrived, 0 collisions
Step 502, 0 has arrived, 0 collisions
Step 503, 0 has arrived, 0 collisions
Step 504, 0 has arrived, 0 collisions
Step 505, 0 has arrived, 0 collisions
Step 506, 0 has arrived, 0 collisions
Step 507, 0 has arrived, 0 collisions
Step 508, 0 has arrived, 0 collisions
Step 509, 0 has arrived, 0 collisions
Step 510, 0 has arrived, 0 collisions
Step 511, 0 has arrived, 0 collisions
Step 512, 0 has arrived, 0 collisions
Step 513, 0 has arrived, 0 collisions
Step 514, 0 has arrived, 0 collisions
Step 515, 0 has arrived, 0 collisions
Step 516, 0 has arrived, 0 collisions
Step 517, 0 has arrived, 0 collisions
Step 518, 0 has arrived, 0 collisions
Step 519, 0 has arrived, 0 collisions
Step 520, 0 has arrived, 0 collisions
Step 521, 0 has arrived, 0 collisions
Step 522, 0 has arrived, 0 collisions
Step 523, 0 has arrived, 0 collisions
Step 524, 0 has arrived, 0 collisions
Step 525, 0 has arrived, 0 collisions
Step 526, 0 has arrived, 0 collisions
Step 527, 0 has arrived, 0 collisions
Step 528, 0 has arrived, 0 collisions
Step 529, 0 has arrived, 0 collisions
Step 530, 0 has arrived, 0 collisions
Step 531, 0 has arrived, 0 collisions
Step 532, 0 has arrived, 0 collisions
Step 533, 0 has arrived, 0 collisions
Step 534, 0 has arrived, 0 collisions
Step 535, 0 has arrived, 0 collisions
Step 536, 0 has arrived, 0 collisions
Step 537, 0 has arrived, 0 collisions
Step 538, 0 has arrived, 0 collisions
Step 539, 0 has arrived, 0 collisions
Step 540, 0 has arrived, 0 collisions
Step 541, 0 has arrived, 0 collisions
Step 542, 0 has arrived, 0 collisions
Step 543, 0 has arrived, 0 collisions
Step 544, 0 has arrived, 0 collisions
Step 545, 0 has arrived, 0 collisions
Step 546, 0 has arrived, 0 collisions
Step 547, 0 has arrived, 0 collisions
Step 548, 0 has arrived, 0 collisions
Step 549, 0 has arrived, 0 collisions
Step 550, 0 has arrived, 0 collisions
Step 551, 0 has arrived, 0 collisions
Step 552, 0 has arrived, 0 collisions
Step 553, 0 has arrived, 0 collisions
Step 554, 0 has arrived, 0 collisions
Step 555, 0 has arrived, 0 collisions
Step 556, 0 has arrived, 0 collisions
Step 557, 0 has arrived, 0 collisions
Step 558, 0 has arrived, 0 collisions
Step 559, 0 has arrived, 0 collisions
Step 560, 0 has arrived, 0 collisions
Step 561, 0 has arrived, 0 collisions
Step 562, 0 has arrived, 0 collisions
Step 563, 0 has arrived, 0 collisions
Step 564, 0 has arrived, 0 collisions
Step 565, 0 has arrived, 0 collisions
Step 566, 0 has arrived, 0 collisions
Step 567, 0 has arrived, 0 collisions
Step 568, 0 has arrived, 0 collisions
Step 569, 0 has arrived, 0 collisions
Step 570, 0 has arrived, 0 collisions
Step 571, 0 has arrived, 0 collisions
Step 572, 0 has arrived, 0 collisions
Step 573, 0 has arrived, 0 collisions
Step 574, 0 has arrived, 0 collisions
Step 575, 0 has arrived, 0 collisions
Step 576, 0 has arrived, 0 collisions
Step 577, 0 has arrived, 0 collisions
Step 578, 0 has arrived, 0 collisions
Step 579, 0 has arrived, 0 collisions
Step 580, 0 has arrived, 0 collisions
Step 581, 0 has arrived, 0 collisions
Step 582, 0 has arrived, 0 collisions
Step 583, 0 has arrived, 0 collisions
Step 584, 0 has arrived, 0 collisions
Step 585, 0 has arrived, 0 collisions
Step 586, 0 has arrived, 0 collisions
Step 587, 0 has arrived, 0 collisions
Step 588, 0 has arrived, 0 collisions
Step 589, 0 has arrived, 0 collisions
Step 590, 0 has arrived, 0 collisions
Step 591, 0 has arrived, 0 collisions
Step 592, 0 has arrived, 0 collisions
Step 593, 0 has arrived, 0 collisions
Step 594, 0 has arrived, 0 collisions
